timestamp,energy_pv,power_consumed_kwh,energy_hotwater
2017-06-06 07:15:00,4.0,88.0,1.0
2017-06-06 07:30:00,14.0,165.0,1.0
2017-06-06 07:45:00,14.0,244.0,1.0
2017-06-06 08:00:00,36.0,284.0,1.0
2017-06-06 08:15:00,198.0,258.0,1.0
2017-06-06 08:30:00,237.0,122.0,1.0
2017-06-06 08:45:00,258.0,81.0,1.0
2017-06-06 09:00:00,275.0,31.0,1.0
2017-06-06 09:15:00,292.0,41.0,1.0
2017-06-06 09:30:00,278.0,24.0,1.0
2017-06-06 09:45:00,227.0,17.0,1.0
2017-06-06 10:00:00,178.0,17.0,1.0
2017-06-06 10:15:00,28.0,41.0,1.0
2017-06-06 10:30:00,18.0,32.0,1.0
2017-06-06 10:45:00,19.0,17.0,1.0
2017-06-06 11:00:00,20.0,17.0,1.0
2017-06-06 11:15:00,48.0,33.0,1.0
2017-06-06 11:30:00,72.0,33.0,1.0
2017-06-06 11:45:00,86.0,25.0,1.0
2017-06-06 12:00:00,64.0,20.0,1.0
2017-06-06 12:15:00,59.0,32.0,1.0
2017-06-06 12:30:00,88.0,25.0,1.0
2017-06-06 12:45:00,89.0,33.0,1.0
2017-06-06 13:00:00,100.0,40.0,1.0
2017-06-06 13:15:00,82.0,17.0,1.0
2017-06-06 13:30:00,78.0,25.0,1.0
2017-06-06 13:45:00,95.0,90.0,1.0
2017-06-06 14:00:00,240.0,188.0,1.0
2017-06-06 14:15:00,114.0,327.0,1.0
2017-06-06 14:30:00,185.0,91.0,1.0
2017-06-06 14:45:00,100.0,39.0,1.0
2017-06-06 15:00:00,107.0,29.0,1.0
2017-06-06 15:15:00,112.0,39.0,1.0
2017-06-06 15:30:00,108.0,167.0,1.0
